Question,Area,SubArea,Burnout Risk,Authenticity Strain,Suppressed Influence,Internal Contradiction,Structural Misfit,Old Wounds New Systems,Emotional Containment,Values Misalignment,Reverse Logic,Individual,Team
I understand how my outputs contribute to the company’s larger goals.,Position,KPIs,0.4,0.8,0.8,0.8,0.8,0.2,0.2,0.2,1,0,0
I feel most energised when I am connecting with other people at work. ,Subjectivity,Personality,0.6,0.8,0,0.8,0,0.8,0.4,0,1,0,0
"I enjoy fluidity, change, and open-ended problems. ",Subjectivity,Personality,0.4,0.8,0,0.4,1,0,0.4,0,1,0,0
"I move through life practically, I prefer to not be guided by emotions. ",Subjectivity,Personality,0,1,0,0.6,1,0,0.4,0,1,0,0
I feel most grounded when I have time to reflect and process alone.,Subjectivity,Personality,0,1,0,0.6,0.8,0,0.4,0,0,1,0
People often misread or underestimate what I’m actually thinking or feeling.,Subjectivity,Personality,0.8,1,0,1,0.8,0,1,0,0,1,0
My personality feels well-matched to the role I’m in.,Subjectivity,Personality,1,1,0,0.8,0.8,0,0.6,0,1,0,0
I feel more motivated by stimulating tasks than by reward and recognition. ,Subjectivity,Motivation,0,0.8,0,0.8,0.4,0,0.4,0,0,1,0
When facing a tough task I am motivated by the expectations of tohers. ,Subjectivity,Motivation,0.4,0,0,0.8,0,0,0.6,0.6,0,0,1
I prefer practical tasks to solving puzzles. ,Subjectivity,Motivation,0.8,0.8,0,0.8,0.8,0,0.4,0,0,1,0
I feel intrinsically motivated in my current role.,Subjectivity,Motivation,1,0.8,0,0.4,0.4,0,0.8,0,1,0,0
I often find myself going beyond what’s required because the work matters to me.,Subjectivity,Motivation,1,0,0,0,0,0,0.8,0,0,1,0
The things that motivate me are supported by the environment I work in.,Subjectivity,Motivation,0.8,1,0,1,0.6,0,0.8,1,1,0,0
When facing prolonged stress at work I push through rather than stop and re-evaluate.,Subjectivity,Pain Management,1,0,0,0,0,0.8,0.8,0,0,0,0
When I fail at work I struggle to focus on what I can learn because I feel personally injured. ,Subjectivity,Pain Management,0.8,0,0,0,0,1,1,0,0,0,0
I recover from work stress by talking to other people about it and asking for support. ,Subjectivity,Pain Management,1,0.8,0,0.8,0,0.8,1,0,1,0,1
I am aware of how I typically respond to emotional or psychological discomfort.,Subjectivity,Pain Management,0.8,0.6,0,0.8,0,1,1,0,1,0,0
"When I am under pressure, I know how to return to a grounded state.",Subjectivity,Pain Management,1,0,0,1,0,0.6,1,0,1,0,0
My current role allows me to acknowledge stress without being seen as weak.,Subjectivity,Pain Management,1,0,0,0.8,0.8,0.8,0.8,0,1,0,0
There are negative past work expereinces that still influence how I show up for work. ,Subjectivity,Injuries,0.8,0,0,0,0,1,1,0,0,0,0
When trust is broken in a work relationship I tend to withdraw rather than repair the relationship. ,Subjectivity,Injuries,0,0,0,0.4,0,1,0.8,0,0,1,0
When it comes to takeing risks in my career I tend to be cautious. ,Subjectivity,Injuries,0.8,0,0,0,0,0.6,0.6,0,0,0,0
There are past professional experiences I still think about more than I’d like.,Subjectivity,Injuries,0.6,0,0,0,0,1,0.8,0,0,0,0
I can trace some of my current work habits back to negative surprises in the past.,Subjectivity,Injuries,0,0.4,0,0,0,1,0.8,0,0,0,0
I feel that I’ve fully processed and integrated the difficult parts of my work history.,Subjectivity,Injuries,0.8,0.4,0,0,0,1,1,0,1,0,0
At work I often end up carrying more responsibility than I am required to. ,Subjectivity,Unconscious,1,0,0,0,0.4,0.8,0.8,0,0,1,0
I am energised by fixing problems in teams. ,Subjectivity,Unconscious,1,0,0,0,0.4,0.2,0,0,1,0,1
When things go wrong at work I often feel like I don’t belong there. ,Subjectivity,Unconscious,0.4,0.4,0,0,0,0.8,1,0,0,1,0
"Certain emotional themes keep repeating in my career, even when circumstances change.",Subjectivity,Unconscious,0.4,0,0,0.4,0,1,1,0,0,0,0
Sometimes I find myself reacting strongly in ways I don’t fully understand.,Subjectivity,Unconscious,1,0.4,0,0,0.2,1,1,0,0,0,0
I’ve developed insight into the unconscious patterns that shape how I show up at work.,Subjectivity,Unconscious,1,0,0,0,0,1,1,0,1,0,0
I value  clear structure and guidance in my role.,Goals,Freedom,0,0.6,0,0,0.6,1,0,0,0,0,1
Self sufficiency is of great importance to me. ,Goals,Freedom,0,0.8,0,0,0.6,0,0,0,0,1,0
I feel comfortable when guided by the suggestions of others. ,Goals,Freedom,0,0.4,0,0,0,0.8,0,0,1,0,1
I often feel slowed down when working with others,Goals,Freedom,0,0.4,0,0,0,0,0,0,1,1,0
I find it difficult to focus when working in a group. ,Goals,Freedom,0,0.6,0,0,1,0,0,0,1,1,0
I value task completion over recognition. ,Goals,Freedom,0,0.2,0,0,0.4,0,0,0,0,1,0
I find that my workplace is too rigid and that my time is often wasted.,Goals,Opposition,0.8,0.8,1,0,1,0,0.6,1,0,0,0
When I notice that something is wrong at work I solve it quietly without involving others.,Goals,Opposition,0.8,0.6,0.6,0,0.6,0.6,0.2,0.6,0,1,0
The leadrership at work encourage creativity.,Goals,Opposition,0.4,0.6,0.8,0,0.8,0,0.2,0,1,0,1
There are specific patterns in organisations that I find myself constantly resisting.,Goals,Opposition,0.2,0.8,0.8,0.6,0.6,0.6,0.2,0.6,0,1,0
My professional choices are partly shaped by what I want to avoid or undo.,Goals,Opposition,0.2,0.4,0.6,0.8,0.2,0.8,0.4,0.2,0,0,0
My current role gives me a chance to push against the things that frustrate me most.,Goals,Opposition,0.4,0.2,0.4,0,0.4,0.4,0.4,0.2,0,1,0
Leaving a legacy is important to me and influences my approach to work. ,Goals,Legacy,0,0,0,1,0.4,0,0,0.4,0,0,0
I am more interested in developing key parts of the business than in social development. ,Goals,Legacy,0,0,0,1,0.6,0,0,0.6,0,0,0
I am still searching for work that feels truly meaningful. ,Goals,Legacy,0,0,0,1,0.8,0,0,0.8,0,0,0
I want my work to matter beyond immediate results.,Goals,Legacy,0,0,0,1,0.6,0,0,0.6,0,0,0
I think about the long-term impact of the choices I make in my career.,Goals,Legacy,0,0,0,1,0.6,0,0,0.6,0,0,0
My current role gives me opportunities to build or contribute to something lasting.,Goals,Legacy,0,0,0,1,0.8,0,0,0.8,0,0,0
I prioritise learning new skills over managing my internal resources. ,Goals,Personal,1,0,0,1,0.2,0,0,0,0,1,0
I measure my own growth based on the feedback from others. ,Goals,Personal,0.6,0.8,0,0.8,0.2,0,0,0,0,0,1
I feel proud when I notice that I react differently in situations that used to trigger me. ,Goals,Personal,0.2,0,0,0.8,0.2,1,0.8,0,1,0,0
My current role supports the person I’m trying to become.,Goals,Personal,0.8,1,0,0.6,0.2,0,0.2,1,1,0,0
I make space in my life for growth that isn’t tied to external achievement.,Goals,Personal,0.8,1,0,0.8,0,0,0,0,0,0,0
I’m aware of who I’m becoming through the choices I make at work.,Goals,Personal,0.8,1,0,0.8,0,0,0.8,0,1,0,0
My organisation is thriving and forward-thinking.,Circumstances,Organisation Performance,0.8,0,0.6,0,0.8,0,0,1,1,0,0
The place where I work rarely celebrates success. ,Circumstances,Organisation Performance,0.4,0.4,0,0,0,0,0.4,0.8,0,0,0
I am concerned about my organisation's stability and growth. ,Circumstances,Organisation Performance,0.4,0,0.4,0.2,0.2,0,0,0,0,0,0
I trust that the organisation is heading in a positive direction.,Circumstances,Organisation Performance,0,0.6,0.4,0.4,0.2,0,0.6,0,0,0,0
Company-wide performance affects how I feel about my work.,Circumstances,Organisation Performance,0.4,0.2,0,0,0,0,0,0,0,0,1
There is alignment between the company’s goals and what I value.,Circumstances,Organisation Performance,0,1,0,0,0,0,0,1,1,0,0
My organisation currently views my team as underperforming.,Circumstances,Organisation Position,0.8,0,0,0,0,0,0.8,0,0,0,0
My unit has a significant influence on the rest of the business. ,Circumstances,Organisation Position,1,0,0,0,0,0,0.4,0,0,0,0
My role feels highly relevant in relation to the company’s strategic focus.,Circumstances,Organisation Position,0.2,1,0,0.6,1,0,0,0,0,0,1
My team is seen as adding value to the organisation.,Circumstances,Organisation Position,1,0,0.8,0,0,0,0,0,1,0,1
I feel that my role contributes meaningfully to the company’s overall goals.,Circumstances,Organisation Position,0.8,0,0.8,0,0,0,0,0.2,1,0,1
The position I’m in is strategically well-placed within the organisation.,Circumstances,Organisation Position,0.4,0.8,1,0,0.8,0,0,0.2,1,0,1
I would describe the overall tone of peer interactions in your workplace as competitive and guarded. ,Circumstances,Collegial Relationships,0.4,0.8,0,0,0,0.4,0.8,0.4,0,0,0
I feel free to speak and share ideas in meetings or shared workspaces.,Circumstances,Collegial Relationships,0.8,1,0.4,0,0,0,0.4,0.4,1,0,0
"If I had a difficult week, my colleagues are very likely to notice and care.",Circumstances,Collegial Relationships,0.8,0.4,0,0,0,0.4,0.6,0,1,0,1
I feel emotionally safe in my day-to-day interactions with colleagues.,Circumstances,Collegial Relationships,0.8,0.8,0.6,0,0,0.4,0.2,0,1,0,1
I experience a sense of connection and camaraderie in my team.,Circumstances,Collegial Relationships,0.8,0.6,0,0,0.8,0,0.2,0.6,1,0,1
My work relationships positively impact my energy and focus.,Circumstances,Collegial Relationships,1,0,0,0,0,0,0.8,0,1,0,1
Internal problems at work are typically ignored or swept under the rug.,Circumstances,Internal Problems,0.4,0.8,0,0,0,0,0.6,0.8,0,1,0
Unresolved tensions or politics often affect my ability to do good work.,Circumstances,Internal Problems,0,1,0.8,0.6,0.6,0,0.4,0.8,0,1,0
When I notice dysfunction or avoidance in my work environment I address it direclty. ,Circumstances,Internal Problems,0.4,0.8,0.6,0,0,0,0,0.2,1,0,1
There are systemic issues in my organisation that are rarely addressed.,Circumstances,Internal Problems,0.8,1,0.4,0,0,0,0.4,0.2,0,0,1
Internal problems affect how I feel about my role and the company.,Circumstances,Internal Problems,0.8,0.2,0,0.6,0,0,0,0,0,0,1
I feel empowered to raise concerns without fear of backlash.,Circumstances,Internal Problems,0.6,0.8,0.8,0,0,0,0,0.2,1,0,1
