Question,Area,SubArea,Burnout Risk,Authenticity Strain,Suppressed Influence,Internal Contradiction,Structural Misfit,Old Wounds New Systems,Emotional Containment,Values Misalignment,Reverse Logic,Individual,Team
My family life adds meaning and balance to my work.,Context,Family,0.6,0.4,0,0,0.6,0.4,0.8,0.6,1,0,0
My home life helps me recover from work stress.,Context,Family,1,0,0,0,0.8,0.4,0.8,0.8,1,0,0
The people closest to me support and understand me.,Context,Family,0.8,0.6,0,0,0.6,0.8,0.8,0.6,1,0,0
The people who make important decisions are aware of my work.,Position,Exposure,0.4,0.6,0.8,0,0.8,0,0,0.8,0,0,0
I feel uncomfortable when I am highly visible at work.,Position,Exposure,0.4,0.8,0.2,0.8,0.8,0.4,0,0.2,0,0,0
I receive unwanted attention or criticism in my role.,Position,Exposure,1,0.2,0,0,0,0.8,0.8,0,0,0,0
I am comfortable when others observe or evaluate my work.,Position,Exposure,0.8,0.8,0,0.8,1,0.4,0,0.6,1,0,0
The amount of attention I receive at work suits both my role and personality.,Position,Exposure,0.6,1,0,1,1,0.4,0,0,1,0,0
I can manage how visible I am at work without pretending to be someone I am not.,Position,Exposure,0.8,1,0,0.6,0.6,0,0,0,1,0,0
My place in the company structure is clear.,Position,Hierarchy,0.6,1,1,0.6,1,0.4,0.4,0.2,1,0,0
The power structures in my workplace feel unfair or oppressive.,Position,Hierarchy,0.8,0.8,0.8,0.6,0.8,0.4,0.8,1,0,0,0
I often feel disconnected from leaders and people in authority.,Position,Hierarchy,0.2,0.6,0.8,0.4,1,0.4,0.8,0.8,0,1,0
I understand how decisions are made in my organisation.,Position,Hierarchy,0.4,0.6,0.8,0.4,1,0.4,0.8,0.8,1,0,1
I can manage workplace politics when necessary.,Position,Hierarchy,0.2,0.8,0.8,0,0.4,0.8,0.4,0.2,1,0,1
The power dynamics in my company are healthy.,Position,Hierarchy,0.4,0.8,0.4,0.8,1,0.6,0.4,0.8,1,0,1
My relationships at work are supportive and positive.,Position,Relationships,0.8,0.6,0,0,0,0.6,0.6,0.6,1,0,1
I often feel like an outsider in group situations at work.,Position,Relationships,0.4,0.4,1,0,0.8,0.6,0.6,0.8,0,1,0
I do not feel emotionally safe with my colleagues.,Position,Relationships,0.8,0.6,0,0,0,0.8,0.8,0.4,0,1,0
I feel respected by the people I work with.,Position,Relationships,0.8,1,1,1,1,0.8,0.8,0.8,1,0,1
I have at least one colleague I can turn to for support.,Position,Relationships,0.6,0.2,0.4,0,0.8,0.6,1,0,1,0,1
The way people interact in my team helps me work effectively.,Position,Relationships,0.8,0.6,0.6,0.6,1,0.4,0.4,0.2,1,0,0
My KPIs reflect how I actually spend my time at work.,Position,KPIs,0.2,0.8,0.8,0.8,0.8,0.2,0.2,0.6,1,0,0
My company evaluates my work fairly.,Position,KPIs,0.2,0.8,0.8,0.8,0.8,0.2,0.2,0.2,1,0,0
KPIs are a good way to measure my work outcomes.,Position,KPIs,0.2,1,0.8,0.6,0.8,0.4,0.2,0.4,1,0,0
My KPIs reflect what success looks like in my role.,Position,KPIs,0.2,1,0.8,0.8,0.8,0.6,0.2,0.2,1,0,0
The way my performance is measured motivates me.,Position,KPIs,0.8,0.8,0.8,0.8,0.8,0.4,0.2,0.2,1,0,0
I understand how my work contributes to the company’s goals.,Position,KPIs,0.4,0.8,0.8,0.8,0.8,0.2,0.2,0.2,1,0,0
I gain energy from interacting with people at work.,Subjectivity,Personality,0.6,0.8,0,0.8,0,0.8,0.4,0,1,0,0
I enjoy change and problems without clear answers.,Subjectivity,Personality,0.4,0.8,0,0.4,1,0,0.4,0,1,0,0
I prefer to make decisions based on practicality rather than emotion.,Subjectivity,Personality,0,1,0,0.6,1,0,0.4,0,1,0,0
I feel most settled when I have time alone to think and reflect.,Subjectivity,Personality,0,1,0,0.6,0.8,0,0.4,0,0,1,0
People often misunderstand what I am thinking or feeling.,Subjectivity,Personality,0.8,1,0,1,0.8,0,1,0,0,1,0
My personality is a good fit for my role.,Subjectivity,Personality,1,1,0,0.8,0.8,0,0.6,0,1,0,0
Interesting work motivates me more than praise or rewards.,Subjectivity,Motivation,0,0.8,0,0.8,0.4,0,0.4,0,0,1,0
"When a task is difficult, other people's expectations motivate me.",Subjectivity,Motivation,0.4,0,0,0.8,0,0,0.6,0.6,0,0,1
I prefer practical work over solving complex problems.,Subjectivity,Motivation,0.8,0.8,0,0.8,0.8,0,0.4,0,0,1,0
I am motivated by the work itself in my current role.,Subjectivity,Motivation,1,0.8,0,0.4,0.4,0,0.8,0,1,0,0
I often do more than is required because the work is important to me.,Subjectivity,Motivation,1,0,0,0,0,0,0.8,0,0,1,0
My work environment supports the things that motivate me.,Subjectivity,Motivation,0.8,1,0,1,0.6,0,0.8,1,1,0,0
"When work stress continues for a long time, I keep going rather than stepping back to reassess.",Subjectivity,Pain Management,1,0,0,0,0,0.8,0.8,0,0,0,0
"When I fail at work, I find it hard to focus on learning because I take it personally.",Subjectivity,Pain Management,0.8,0,0,0,0,1,1,0,0,0,0
I recover from work stress by talking to others and asking for help.,Subjectivity,Pain Management,1,0.8,0,0.8,0,0.8,1,0,1,0,1
I understand how I usually react when I feel emotionally uncomfortable.,Subjectivity,Pain Management,0.8,0.6,0,0.8,0,1,1,0,1,0,0
"When I am under pressure, I know how to calm and steady myself.",Subjectivity,Pain Management,1,0,0,1,0,0.6,1,0,1,0,0
I can acknowledge stress in my role openly without being judged as weak.,Subjectivity,Pain Management,1,0,0,0.8,0.8,0.8,0.8,0,1,0,0
Past negative work experiences still affect how I approach my job.,Subjectivity,Injuries,0.8,0,0,0,0,1,1,0,0,0,0
"When trust is broken at work, I tend to pull away rather than repair the relationship.",Subjectivity,Injuries,0,0,0,0.4,0,1,0.8,0,0,1,0
I tend to be cautious about taking risks in my career.,Subjectivity,Injuries,0.8,0,0,0,0,0.6,0.6,0,0,0,0
There are past work experiences that I think about more than I want to.,Subjectivity,Injuries,0.6,0,0,0,0,1,0.8,0,0,0,0
Some of my current work habits developed because of negative experiences in the past.,Subjectivity,Injuries,0,0.4,0,0,0,1,0.8,0,0,0,0
I feel I have worked through the difficult parts of my work history.,Subjectivity,Injuries,0.8,0.4,0,0,0,1,1,0,1,0,0
I often take on more responsibility than my role requires.,Subjectivity,Unconscious,1,0,0,0,0.4,0.8,0.8,0,0,1,0
I gain energy from helping teams solve problems.,Subjectivity,Unconscious,1,0,0,0,0.4,0.2,0,0,1,0,1
"When things go wrong at work, I often feel like I do not belong.",Subjectivity,Unconscious,0.4,0.4,0,0,0,0.8,1,0,0,1,0
"The same emotional patterns often repeat in my career, even when situations change.",Subjectivity,Unconscious,0.4,0,0,0.4,0,1,1,0,0,0,0
Sometimes I react strongly to problems at work without fully understanding why.,Subjectivity,Unconscious,1,0.4,0,0,0.2,1,1,0,0,0,0
I understand some of the deeper patterns that influence how I behave at work.,Subjectivity,Unconscious,1,0,0,0,0,1,1,0,1,0,0
Clear structure and guidance are important to me in my role.,Goals,Freedom,0,0.6,0,0,0.6,1,0,0,0,0,1
Being self-sufficient is very important to me.,Goals,Freedom,0,0.8,0,0,0.6,0,0,0,0,1,0
I am comfortable following other people's suggestions.,Goals,Freedom,0,0.4,0,0,0,0.8,0,0,1,0,1
I often feel less efficient when working with others.,Goals,Freedom,0,0.4,0,0,0,0,0,0,1,1,0
I find it hard to concentrate when working in a group.,Goals,Freedom,0,0.6,0,0,1,0,0,0,1,1,0
Finishing tasks is more important to me than receiving recognition.,Goals,Freedom,0,0.2,0,0,0.4,0,0,0,0,1,0
"My workplace feels too rigid, and I often feel my time is wasted.",Goals,Opposition,0.8,0.8,1,0,1,0,0.6,1,0,0,0
"When I see a problem at work, I usually solve it on my own.",Goals,Opposition,0.8,0.6,0.6,0,0.6,0.6,0.2,0.6,0,1,0
The leaders at work encourage creativity.,Goals,Opposition,0.4,0.6,0.8,0,0.8,0,0.2,0,1,0,1
There are certain workplace patterns that I regularly push back against.,Goals,Opposition,0.2,0.8,0.8,0.6,0.6,0.6,0.2,0.6,0,1,0
My career choices are influenced by what I want to avoid.,Goals,Opposition,0.2,0.4,0.6,0.8,0.2,0.8,0.4,0.2,0,0,0
My current role allows me to address the things that frustrate me most.,Goals,Opposition,0.4,0.2,0.4,0,0.4,0.4,0.4,0.2,0,1,0
Leaving a lasting impact is important to me and affects how I work.,Goals,Legacy,0,0,0,1,0.4,0,0,0.4,0,0,0
I am more interested in improving the business than in social development.,Goals,Legacy,0,0,0,1,0.6,0,0,0.6,0,0,0
I am still looking for work that feels meaningful to me.,Goals,Legacy,0,0,0,1,0.8,0,0,0.8,0,0,0
I want my work to have an impact beyond short-term results.,Goals,Legacy,0,0,0,1,0.6,0,0,0.6,0,0,0
I consider the long-term effects of my career decisions.,Goals,Legacy,0,0,0,1,0.6,0,0,0.6,0,0,0
My current role allows me to contribute to something that will last.,Goals,Legacy,0,0,0,1,0.8,0,0,0.8,0,0,0
I focus more on learning new skills than on managing my energy and resources.,Goals,Personal,1,0,0,1,0.2,0,0,0,0,1,0
I judge my growth based on feedback from other people.,Goals,Personal,0.6,0.8,0,0.8,0.2,0,0,0,0,0,1
I feel proud when I respond differently to situations that used to upset me.,Goals,Personal,0.2,0,0,0.8,0.2,1,0.8,0,1,0,0
My current role helps me become the person I want to be.,Goals,Personal,0.8,1,0,0.6,0.2,0,0.2,1,1,0,0
I make time for personal growth that is not linked to achievement.,Goals,Personal,0.8,1,0,0.8,0,0,0,0,0,0,0
I am aware of how my work choices are shaping me.,Goals,Personal,0.8,1,0,0.8,0,0,0.8,0,1,0,0
My organisation is successful and focused on the future.,Circumstances,Organisation Performance,0.8,0,0.6,0,0.8,0,0,1,1,0,0
My workplace rarely celebrates success.,Circumstances,Organisation Performance,0.4,0.4,0,0,0,0,0.4,0.8,0,0,0
I worry about my organisation’s stability and future growth.,Circumstances,Organisation Performance,0.4,0,0.4,0.2,0.2,0,0,0,0,0,0
I believe my organisation is moving in a positive direction.,Circumstances,Organisation Performance,0,0.6,0.4,0.4,0.2,0,0.6,0,0,0,0
How the company performs in general affects how I feel about my work.,Circumstances,Organisation Performance,0.4,0.2,0,0,0,0,0,0,0,0,1
The company’s goals match what I value.,Circumstances,Organisation Performance,0,1,0,0,0,0,0,1,1,0,0
My organisation sees my team as underperforming.,Circumstances,Organisation Position,0.8,0,0,0,0,0,0.8,0,0,0,0
My team has a strong influence on the wider business.,Circumstances,Organisation Position,1,0,0,0,0,0,0.4,0,0,0,0
My role is important to the company’s strategic goals.,Circumstances,Organisation Position,0.2,1,0,0.6,1,0,0,0,0,0,1
My team is recognised as adding value to the organisation.,Circumstances,Organisation Position,1,0,0.8,0,0,0,0,0,1,0,1
I believe my role contributes meaningfully to the company’s goals.,Circumstances,Organisation Position,0.8,0,0.8,0,0,0,0,0.2,1,0,1
My role is well positioned within the organisation for what I want to achieve professionally.,Circumstances,Organisation Position,0.4,0.8,1,0,0.8,0,0,0.2,1,0,1
Relationships at work feel competitive and gaurded.,Circumstances,Collegial Relationships,0.4,0.8,0,0,0,0.4,0.8,0.4,0,0,0
I feel free to speak and share my ideas in meetings or shared workspaces.,Circumstances,Collegial Relationships,0.8,1,0.4,0,0,0,0.4,0.4,1,0,0
"If I had a difficult week, my colleagues are very likely to notice and care.",Circumstances,Collegial Relationships,0.8,0.4,0,0,0,0.4,0.6,0,1,0,1
My work environment feels like a safe space. ,Circumstances,Collegial Relationships,0.8,0.8,0.6,0,0,0.4,0.2,0,1,0,1
I feel a good sense of belonging in my team. ,Circumstances,Collegial Relationships,0.8,0.6,0,0,0.8,0,0.2,0.6,1,0,1
Work relationhips influence my energy levels and ability to focus. ,Circumstances,Collegial Relationships,1,0,0,0,0,0,0.8,0,1,0,1
Problems at work between people are often ignored. ,Circumstances,Internal Problems,0.4,0.8,0,0,0,0,0.6,0.8,0,1,0
The social politics at work create significant stress for me. ,Circumstances,Internal Problems,0,1,0.8,0.6,0.6,0,0.4,0.8,0,1,0
When I notice a personal problem at work I prefer to talk about it direclty. ,Circumstances,Internal Problems,0.4,0.8,0.6,0,0,0,0,0.2,1,0,1
My company ignores problems that are part of large scale operations.,Circumstances,Internal Problems,0.8,1,0.4,0,0,0,0.4,0.2,0,0,1
Relationships at work affect how secure I feel in my role. ,Circumstances,Internal Problems,0.8,0.2,0,0.6,0,0,0,0,0,0,1
It is safe to talk about problems at work without being punished. ,Circumstances,Internal Problems,0.6,0.8,0.8,0,0,0,0,0.2,1,0,1
